"run.profile","parameter","median","lower","upper","Rhat","ESS"
"plate_cao2024","bivalve.nsb_tau",1003982.65937174,937061.333839584,1065319.09364415,1.03796652512941,106.030193903964
"plate_cao2024","amm.nsb_tau",1002559.90245706,942019.938712467,1067816.85581048,1.05218218263636,184.360149689519
"plate_cao2024","bel.nsb_tau",989503.347789242,934266.04408465,1050819.20090857,1.03180794303068,126.652058579565
"plate_cao2024","micrite.nsb_tau",1003085.0917889,941621.732447163,1068172.72887336,1.01417323222009,139.916948245455
"plate_cao2024","bulk.nsb_tau",993604.047394478,938496.215300548,1065197.3790519,1.06831740162483,101.293688503693
"plate_cao2024","bulk_sr.nsb_tau",1004061.43992512,941843.96321023,1056007.87257519,1.08434053857291,94.966825112784
"plate_cao2024","bulk_marg.nsb_tau",991753.978824025,935705.914605557,1063252.56522169,1.06351141892442,252.568842191352
"plate_cao2024","bf.archive_level",-12.2280330279281,-13.0683514812525,-11.5643105799085,1.91147843622594,26.5494221809049
"plate_cao2024","pf.archive_level",4.08474463859646,3.26116771641394,4.74277577564147,1.98175257163143,13.6372284827155
"plate_cao2024","brach.archive_level",3.38118885894719,2.5582006295059,4.02512671603606,1.98553483363872,17.113037474781
"plate_cao2024","bivalve.archive_level",4.27250176743423,3.45220109340828,4.91841912093082,1.98358607160909,17.3349460667186
"plate_cao2024","amm.archive_level",1.88628734333359,1.05137500079534,2.53820922159394,1.96459391730942,17.7965227458726
"plate_cao2024","bel.archive_level",1.83831712442002,1.0151369163368,2.48430618965043,1.98447455976619,16.8302214694574
"plate_cao2024","micrite.archive_level",3.87544018998409,2.97639519391076,4.62419767063695,1.73641818720359,52.3306646257897
"plate_cao2024","bulk.archive_level",3.08259057054717,2.25783667385497,3.72552092676619,1.98618314777733,17.1252504554158
"plate_cao2024","bulk_sr.archive_level",2.11055935924632,1.20486218157739,2.8760959815837,1.74019010119655,42.0399356198554
"plate_cao2024","bulk_marg.archive_level",2.74885464111529,1.9221900968399,3.39153508225457,1.98386344804676,17.9790377214941
"cenozoic","d13CO2_sigma",0.0998546136793813,0.0992349267997396,0.0999942841605938,1.00009080707496,24574.6342942557
"cenozoic","GMST_sigma",0.497926106463849,0.489358416729323,0.499924229654002,1.00003603614683,23646.508684729
"cenozoic","BWT_sigma",0.497788401376571,0.488325241751584,0.499915016496657,0.999978780859102,24000
"cenozoic","cc_co2_constant1",12.0528182523227,11.818944135216,12.2229838841553,1.00012529899622,23653.302374195
"cenozoic","cc_co2_coeff1",0.139920050697901,0.139573925915846,0.13999695341967,1.00003490420395,24231.390595563
"cenozoic","asd",1.03349083595861,0.648157746197218,1.42920892709139,1.00008186593722,24064.936158744
"cenozoic","bpump",2.16221194814002,1.58031451170521,2.75499205337921,0.999986740791299,23854.2973323114
"cenozoic","remin",1.13898351420118,0.628409627546792,1.65338743551444,0.999922361100936,23684.1626314314
"cenozoic","f_co3",0.000659719418899119,2.41118743569489e-05,0.00342782212073201,1.00104181325413,6737.65888326245
"cenozoic","f_carbacid",0.000954911279956621,3.61899540394728e-05,0.00477776193261991,1.00076704633022,5115.56828193237
"cenozoic","Abf",4.33242792318839,3.65393125246565,5.02263715907719,1.00000411656997,24096.2036732727
"cenozoic","Asurf",1.03349083595861,0.648157746197218,1.42920892709139,1.00008186593722,24064.936158744
"cenozoic","d13CO2_level",-4.58737832020207,-5.22480556700716,-3.95609576817624,1.02009043953515,1080.55938054609
"cenozoic","bf.nsb_mean",0.37460499197052,-0.0687008884492833,0.829419742225669,0.99996938190188,24706.5785482673
"cenozoic","pf.nsb_mean",-0.813315378480238,-1.21155517629026,-0.421481777089215,0.999928642195401,24000
